Prediction	Accession	Query
MraZ	WP_013854331.1	MraZ.1
MraZ	WP_056946059.1	MraZ.1
MraZ	WP_056946059.1	MraZ.1
MraZ	WP_014919038.1	MraZ.1
MraZ	WP_135370923.1	MraZ.1
MraZ	WP_235956357.1	MraZ.1
MraZ	WP_125769656.1	MraZ.1
MraZ	WP_125707969.1	MraZ.1
MraZ	WP_008473366.1	MraZ.1
MraZ	WP_045922897.1	MraZ.1
MraZ	WP_039144940.1	MraZ.1
MraZ	WP_078806191.1	MraZ.1
MraZ	WP_090091753.1	MraZ.1
MraZ	WP_035363876.1	MraZ.1
MraZ	WP_002831992.1	MraZ.1
MraZ	WP_046316669.1	MraZ.1
MraZ	WP_009167180.1	MraZ.1
MraZ	WP_056962245.1	MraZ.1
MraZ	WP_180870093.1	MraZ.1
MraZ	WP_057802664.1	MraZ.1
MraZ	WP_040469655.1	MraZ.1
MraZ	WP_007122812.1	MraZ.1
MraZ	WP_137607308.1	MraZ.1
MraZ	WP_057740801.1	MraZ.1
MraZ	WP_093625626.1	MraZ.1
MraZ	WP_251547030.1	MraZ.1
MraZ	WP_057809846.1	MraZ.1
MraZ	WP_002833498.1	MraZ.1
MraZ	WP_137625897.1	MraZ.1
MraZ	WP_023858956.1	MraZ.1
MraZ	WP_025021644.1	MraZ.1
MraZ	WP_003682145.1	MraZ.1
MraZ	WP_056995375.1	MraZ.1
MraZ	WP_133362526.1	MraZ.1
MraZ	WP_004914780.1	MraZ.1
MraZ	WP_004914780.1	MraZ.1
MraZ	WP_230098585.1	MraZ.1
MraZ	WP_230097182.1	MraZ.1
MraZ	WP_018659471.1	MraZ.1
MraZ	WP_075270028.1	MraZ.1
MraZ	WP_002828552.1	MraZ.1
MraZ	WP_115471183.1	MraZ.1
MraZ	WP_002815203.1	MraZ.1
MraZ	WP_002815203.1	MraZ.1
MraZ	WP_258087955.1	MraZ.1
MraZ	WP_168722041.1	MraZ.1
MraZ	WP_213808715.1	MraZ.1
MraZ	WP_220734283.1	MraZ.1
MraZ	WP_014974595.1	MraZ.1
MraZ	WP_187753201.1	MraZ.1
MraZ	WP_220740171.1	MraZ.1
MraZ	WP_213819115.1	MraZ.1
MraZ	WP_091502090.1	MraZ.1
MraZ	WP_059377466.1	MraZ.1
MraZ	WP_252443171.1	MraZ.1
MraZ	WP_002818997.1	MraZ.1
MraZ	WP_010372671.1	MraZ.1
MraZ	WP_007746284.1	MraZ.1
MraZ	WP_013231742.1	MraZ.1
MraZ	WP_057788433.1	MraZ.1
MraZ	WP_148603665.1	MraZ.1
MraZ	WP_089938758.1	MraZ.1
MraZ	WP_034573446.1	MraZ.2
MraZ	WP_010053408.1	MraZ.2
MraZ	WP_034558730.1	MraZ.2
MraZ	WP_047390067.1	MraZ.2
MraZ	WP_034550730.1	MraZ.2
MraZ	WP_092652596.1	MraZ.2
MraZ	WP_034548190.1	MraZ.2
MraZ	WP_126808069.1	MraZ.2
MraZ	WP_085560278.1	MraZ.2
MraZ	WP_092479690.1	MraZ.2
MraZ	WP_035053636.1	MraZ.2
MraZ	WP_007723059.1	MraZ.2
MraZ	WP_209527533.1	MraZ.2
MraZ	WP_035022177.1	MraZ.2
MraZ	WP_023177379.1	MraZ.2
MraZ	WP_028273798.1	MraZ.2
MraZ	WP_106190683.1	MraZ.2
MraZ	WP_208558841.1	MraZ.2
MraZ	WP_087057186.1	MraZ.2
MraZ	WP_126821815.1	MraZ.2
MraZ	WP_072694535.1	MraZ.2
MraZ	WP_069655284.1	MraZ.2
MraZ	WP_035028896.1	MraZ.2
MraZ	WP_126780646.1	MraZ.2
MraZ	WP_010764035.1	MraZ.2
MraZ	WP_002383402.1	MraZ.2
MraZ	WP_126831415.1	MraZ.2
MraZ	WP_126831415.1	MraZ.2
MraZ	WP_069699186.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_010762855.1	MraZ.2
MraZ	WP_091479011.1	MraZ.2
MraZ	WP_245186844.1	MraZ.2
MraZ	WP_136953587.1	MraZ.2
MraZ	WP_069634642.1	MraZ.2
MraZ	WP_106450693.1	MraZ.2
MraZ	WP_068623235.1	MraZ.2
MraZ	WP_275469653.1	MraZ.2
MraZ	WP_010771236.1	MraZ.2
MraZ	WP_069646474.1	MraZ.2
MraZ	WP_016183298.1	MraZ.2
MraZ	WP_088269709.1	MraZ.2
MraZ	WP_086628340.1	MraZ.2
MraZ	WP_091264592.1	MraZ.2
MraZ	WP_126813300.1	MraZ.2
MraZ	WP_086943378.1	MraZ.2
MraZ	WP_086943378.1	MraZ.2
MraZ	WP_086943378.1	MraZ.2
MraZ	WP_086341247.1	MraZ.2
MraZ	WP_086985431.1	MraZ.2
MraZ	WP_007207111.1	MraZ.2
MraZ	WP_023606029.1	MraZ.2
MraZ	WP_218324879.1	MraZ.2
MraZ	WP_068560018.1	MraZ.2
MraZ	WP_124005038.1	MraZ.2
MraZ	WP_173102600.1	MraZ.2
MraZ	WP_016251188.1	MraZ.2
MraZ	WP_091527774.1	MraZ.2
MraZ	WP_016172519.1	MraZ.2
MraZ	WP_135253464.1	MraZ.2
MraZ	WP_014124143.1	MraZ.2
MraZ	WP_067626249.1	MraZ.2
MraZ	WP_002291870.1	MraZ.2
MraZ	WP_126791119.1	MraZ.2
MraZ	WP_005228792.1	MraZ.2
MraZ	WP_005228792.1	MraZ.2
MraZ	WP_034685495.1	MraZ.2
MraZ	WP_091489076.1	MraZ.2
MraZ	WP_002286645.1	MraZ.2
MraZ	WP_136137102.1	MraZ.2
MraZ	WP_071863621.1	MraZ.2
MraZ	WP_137609830.1	MraZ.2
MraZ	WP_010740490.1	MraZ.2
MraZ	WP_056959983.1	MraZ.2
MraZ	WP_057896628.1	MraZ.2
MraZ	WP_067395345.1	MraZ.2
MraZ	WP_216428429.1	MraZ.2
MraZ	WP_146924353.1	MraZ.2
MraZ	WP_010780217.1	MraZ.2
MraZ	WP_021149447.1	MraZ.2
MraZ	WP_112250121.1	MraZ.2
MraZ	WP_067481326.1	MraZ.2
MraZ	WP_137617551.1	MraZ.2
MraZ	WP_071856470.1	MraZ.2
MraZ	WP_088933052.1	MraZ.2
MraZ	WP_010759625.1	MraZ.2
MraZ	WP_125984430.1	MraZ.2
MraZ	WP_071874977.1	MraZ.2
MraZ	WP_057828944.1	MraZ.2
MraZ	WP_123935885.1	MraZ.2
MraZ	WP_005881057.1	MraZ.2
MraZ	WP_028789974.1	MraZ.2
MraZ	WP_057886911.1	MraZ.2
MraZ	WP_016175677.1	MraZ.2
MraZ	WP_137612681.1	MraZ.2
MraZ	WP_269023516.1	MraZ.2
MraZ	WP_013773669.1	MraZ.2
MraZ	WP_057879417.1	MraZ.2
MraZ	WP_057879417.1	MraZ.2
MraZ	WP_029594184.1	MraZ.2
MraZ	WP_057869030.1	MraZ.2
MraZ	WP_003776245.1	MraZ.2
MraZ	WP_204652942.1	MraZ.2
MraZ	WP_122647024.1	MraZ.2
MraZ	WP_003706454.1	MraZ.2
MraZ	WP_057733805.1	MraZ.2
MraZ	WP_071855935.1	MraZ.2
MraZ	WP_016180546.1	MraZ.2
MraZ	WP_068707106.1	MraZ.2
MraZ	WP_137597162.1	MraZ.2
MraZ	WP_089746029.1	MraZ.2
MraZ	WP_003689810.1	MraZ.2
MraZ	WP_146622412.1	MraZ.2
MraZ	WP_025480670.1	MraZ.2
MraZ	WP_188367699.1	MraZ.2
MraZ	WP_218256106.1	MraZ.2
MraZ	WP_057827717.1	MraZ.2
MraZ	WP_057827717.1	MraZ.2
MraZ	WP_014834189.1	MraZ.2
MraZ	WP_091635025.1	MraZ.2
MraZ	WP_168850073.1	MraZ.2
MraZ	WP_057870903.1	MraZ.2
MraZ	WP_057890322.1	MraZ.2
MraZ	WP_020088820.1	MraZ.2
MraZ	WP_020088820.1	MraZ.2
MraZ	WP_166006228.1	MraZ.2
MraZ	WP_022795450.1	MraZ.2
MraZ	WP_048605333.1	MraZ.2
MraZ	WP_048605333.1	MraZ.2
MraZ	WP_125546832.1	MraZ.2
MraZ	WP_125577077.1	MraZ.2
MraZ	WP_125572715.1	MraZ.2
MraZ	WP_057804136.1	MraZ.2
MraZ	WP_166033693.1	MraZ.2
MraZ	WP_092571898.1	MraZ.2
MraZ	WP_208909372.1	MraZ.2
MraZ	WP_129031796.1	MraZ.2
MraZ	WP_028119007.1	MraZ.2
MraZ	WP_077276493.1	MraZ.2
MraZ	WP_166163074.1	MraZ.2
MraZ	WP_011668181.1	MraZ.2
MraZ	WP_125640321.1	MraZ.2
MraZ	WP_138403651.1	MraZ.2
MraZ	WP_125571952.1	MraZ.2
MraZ	WP_071130819.1	MraZ.2
MraZ	WP_124057540.1	MraZ.2
MraZ	WP_010754126.1	MraZ.2
MraZ	WP_118990878.1	MraZ.2
MraZ	WP_057732289.1	MraZ.2
MraZ	WP_137601756.1	MraZ.2
MraZ	WP_126111125.1	MraZ.2
MraZ	WP_073295222.1	MraZ.2
MraZ	WP_125763100.1	MraZ.2
MraZ	WP_125763100.1	MraZ.2
MraZ	WP_125763100.1	MraZ.2
MraZ	WP_057744998.1	MraZ.2
MraZ	WP_257701558.1	MraZ.2
MraZ	WP_281164885.1	MraZ.2
MraZ	WP_125957098.1	MraZ.2
MraZ	WP_125581853.1	MraZ.2
MraZ	WP_057736012.1	MraZ.2
