accession	name	MraZ	MraW	FtsL	FtsI	MurE	MurF	MraY	MurD	FtsW	MurG	MurC	MurB	MurA	DdlB	FtsQ	FtsA	FtsZ
GCF_000315445.1	Alloiococcus otitis	3	3	3	2	2	2	3	1	2	2	3	2	6	4	2	2	3
GCF_001936335.1	Amylolactobacillus amylophilus	3	0	2	3	3	3	3	1	9	2	0	3	3	2	1	0	3
GCF_001434555.1	Amylolactobacillus amylotrophicus	3	0	2	3	3	3	3	1	9	2	0	3	3	2	1	0	3
GCF_001281175.1	Apilactobacillus apinorum	3	3	1	3	2	3	3	2	4	3	3	3	4	2	2	3	3
GCF_023380225.1	Apilactobacillus apisilvae	0	3	2	3	2	3	3	2	5	3	3	3	3	4	1	3	3
GCF_003627035.1	Apilactobacillus bombintestini	3	3	1	2	2	3	3	1	9	3	3	3	5	2	1	3	3
GCF_019575995.1	Apilactobacillus kunkeei	3	3	1	3	2	3	3	2	4	2	3	3	4	3	2	3	3
GCF_006493595.1	Apilactobacillus micheneri	0	3	2	3	2	3	3	3	6	3	3	2	3	2	2	3	3
GCF_016861895.1	Apilactobacillus nanyangensis	3	3	1	3	2	3	2	1	5	2	3	3	3	4	2	3	3
GCF_001435995.1	Apilactobacillus ozensis	0	2	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3
GCF_002994005.1	Apilactobacillus quenuiae	0	3	2	3	2	3	3	3	4	3	3	2	3	2	2	3	2
GCF_006493105.1	Apilactobacillus timberlakei	0	3	2	3	2	3	3	2	5	3	3	2	3	2	2	3	3
GCF_019061205.1	Apilactobacillus waqarii	3	3	1	3	2	3	3	2	4	2	3	3	1	3	2	3	3
GCF_019656235.1	Apilactobacillus xinyiensis	0	2	3	3	2	2	3	3	3	3	3	2	3	4	3	3	3
GCF_019656215.1	Apilactobacillus zhangqiuensis	3	3	1	3	2	3	2	0	5	2	3	3	5	2	2	3	3
GCF_000526675.1	Atopobacter phocae	3	1	2	2	1	1	1	1	3	2	3	3	5	4	0	3	3
GCF_000429585.1	Atopococcus tabaci	3	3	2	3	3	3	3	2	8	3	3	3	6	4	3	3	3
GCF_900129085.1	Atopostipes suicloacalis	3	3	3	2	2	2	3	3	8	0	3	3	6	4	3	1	2
GCF_000421665.1	Bavariicoccus seileri	3	1	1	2	1	2	1	1	5	2	3	3	6	4	0	3	3
GCF_013385145.1	Bombilactobacillus apium	3	0	2	2	2	2	1	3	9	3	1	2	2	0	2	1	1
GCF_003522965.1	Bombilactobacillus bombi	3	0	0	2	3	3	2	2	7	3	3	3	1	0	3	0	1
GCF_023380265.1	Bombilactobacillus folatiphilus	0	0	2	2	3	2	2	1	7	3	2	2	0	0	3	1	2
GCF_000970795.1	Bombilactobacillus mellifer	3	0	2	2	3	2	2	3	8	3	2	3	1	0	3	1	2
GCF_000967245.1	Bombilactobacillus mellis	3	0	1	2	3	2	0	3	8	3	3	3	1	0	3	1	2
GCF_023380245.1	Bombilactobacillus thymidiniphilus	0	0	3	2	3	2	2	3	8	2	3	2	1	0	3	0	1
GCF_900143105.1	Carnobacterium alterfunditum	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_001703555.1	Carnobacterium divergens	3	3	3	3	1	3	3	3	13	3	3	3	6	4	3	3	3
GCF_000744185.1	Carnobacterium funditum	3	3	2	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000744375.1	Carnobacterium gallinarum	3	3	2	3	2	3	3	3	9	3	3	3	6	8	3	3	3
GCF_900177385.1	Carnobacterium iners	3	3	3	3	3	3	3	3	9	3	3	3	6	4	3	3	3
GCF_000493735.1	Carnobacterium inhibens	3	3	3	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000745125.1	Carnobacterium jeotgali	3	3	2	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_949790605.1	Carnobacterium maltaromaticum	3	3	3	3	2	3	3	3	17	3	3	3	6	8	3	3	3
GCF_000744825.1	Carnobacterium mobile	3	3	3	3	1	3	3	3	12	3	3	3	6	4	3	3	3
GCF_000744285.1	Carnobacterium pleistocenium	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_900102725.1	Carnobacterium viridans	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000313915.1	Catellicoccus marimammalium	0	3	2	3	3	3	3	1	4	3	3	3	3	4	3	3	2
GCF_002849895.1	Companilactobacillus alimentarius	3	0	3	3	2	2	3	2	8	3	3	3	3	0	3	3	3
GCF_001971585.1	Companilactobacillus allii	3	0	2	3	3	2	2	3	10	3	3	3	6	0	3	2	2
GCF_003946605.1	Companilactobacillus baiquanensis	3	0	1	3	2	2	1	3	6	3	3	3	6	0	2	3	3
GCF_002179915.1	Companilactobacillus bobalius	3	0	3	3	3	2	3	2	9	3	3	2	4	0	3	2	3
GCF_001951175.1	Companilactobacillus crustorum	3	0	3	3	1	2	2	3	9	3	3	3	5	0	3	3	2
GCF_002706745.1	Companilactobacillus farciminis	3	0	3	3	1	1	3	2	8	3	3	3	4	0	3	2	3
GCF_003573535.1	Companilactobacillus formosensis	3	0	3	3	1	2	2	2	8	3	3	3	3	0	3	2	3
GCF_003946325.1	Companilactobacillus furfuricola	3	0	3	3	2	3	3	2	9	3	3	3	6	0	3	2	2
GCF_006007945.1	Companilactobacillus futsaii	3	0	3	3	1	1	3	2	8	3	3	3	4	0	3	3	3
GCF_001050475.1	Companilactobacillus ginsenosidimutans	3	0	2	3	2	3	3	2	9	3	3	3	6	0	3	2	2
GCF_009600995.1	Companilactobacillus halodurans	3	0	3	3	3	2	2	3	7	3	3	3	4	0	3	3	3
GCF_000831645.3	Companilactobacillus heilongjiangensis	3	0	3	3	1	1	3	2	10	3	3	3	3	0	3	3	2
GCF_005404815.1	Companilactobacillus huachuanensis	3	0	2	3	1	1	3	3	9	3	3	3	4	0	3	3	2
GCF_003946555.1	Companilactobacillus hulinensis	3	0	3	3	3	1	3	3	8	3	3	3	6	0	3	3	3
GCF_003946015.1	Companilactobacillus insicii	3	0	2	3	3	1	3	3	9	3	3	3	6	0	3	3	3
GCF_003946575.1	Companilactobacillus jidongensis	3	0	2	3	2	2	3	3	8	3	3	3	6	0	3	2	3
GCF_003946625.1	Companilactobacillus kedongensis	3	0	2	3	2	2	2	3	9	3	3	3	6	0	3	3	3
GCF_003946205.1	Companilactobacillus keshanensis	3	0	1	3	2	2	3	3	9	3	3	3	6	0	2	3	3
GCF_001438805.1	Companilactobacillus kimchiensis	3	0	2	3	2	1	3	2	9	3	3	3	3	0	3	3	3
GCF_001435445.1	Companilactobacillus kimchii	3	0	3	3	2	3	3	2	9	3	3	3	5	0	3	3	3
GCF_004117915.1	Companilactobacillus metriopterae	3	0	2	3	2	2	2	0	5	1	3	3	6	0	3	2	2
GCF_007992055.1	Companilactobacillus mindensis	3	0	3	3	2	2	3	2	8	3	3	3	3	0	2	2	3
GCF_003946505.1	Companilactobacillus mishanensis	3	0	2	3	1	2	3	3	10	2	3	3	5	0	3	2	2
GCF_003967595.1	Companilactobacillus musae	3	0	3	3	1	1	3	2	8	3	3	3	5	0	3	3	3
GCF_007991935.1	Companilactobacillus nantensis	3	0	3	3	1	1	3	2	9	3	3	3	4	0	3	3	3
GCF_001592065.1	Companilactobacillus nodensis	3	0	2	3	3	2	3	3	9	3	3	3	6	0	3	3	3
GCF_002872255.1	Companilactobacillus nuruki	3	0	3	3	0	1	3	2	9	3	3	3	6	0	3	3	3
GCF_014058425.1	Companilactobacillus pabuli	3	0	3	3	1	2	3	2	8	3	3	3	4	0	3	3	3
GCF_001434985.1	Companilactobacillus paralimentarius	3	0	3	3	3	1	3	2	9	3	3	3	4	0	3	3	3
GCF_004745525.1	Companilactobacillus suantsaicola	3	0	3	3	2	1	3	2	9	3	3	3	3	0	3	3	3
GCF_001434665.1	Companilactobacillus tucceti	3	0	1	3	2	1	3	3	6	3	3	3	6	0	2	3	3
GCF_001434295.1	Companilactobacillus versmoldensis	3	0	1	3	1	3	3	3	8	3	3	3	5	0	3	2	2
GCF_003606365.2	Companilactobacillus zhachilii	3	0	3	3	1	1	2	3	9	3	2	3	3	0	3	3	3
GCF_003946515.1	Companilactobacillus zhongbaensis	3	0	3	3	1	3	3	2	9	3	3	3	6	0	3	2	2
GCF_003096575.1	Convivina intestini	3	1	0	1	2	0	0	0	2	3	0	0	1	0	0	0	0
GCF_030127605.1	Dellaglioa algida	3	3	2	3	1	3	3	3	10	3	3	3	4	6	3	3	3
GCF_026948345.1	Dellaglioa carnosa	3	3	2	3	1	3	3	3	10	3	3	3	3	6	3	3	3
GCF_900115825.1	Desemzia incerta	3	3	3	3	4	3	3	3	10	3	3	3	6	4	3	3	3
GCF_002871685.1	Dolosicoccus paucivorans	0	3	0	0	1	2	3	0	3	2	3	3	6	4	0	3	3
GCF_003263915.2	Dolosigranulum pigrum	3	3	2	2	2	2	2	3	4	3	3	3	6	4	3	2	3
GCF_014635985.1	Enterococcus alcedinis	3	3	1	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_019218635.1	Enterococcus alishanensis	3	3	3	3	3	3	3	3	8	3	3	3	6	4	3	3	3
GCF_001885765.1	Enterococcus aquimarinus	3	3	1	3	3	3	3	3	10	2	3	3	6	4	3	3	3
GCF_000407365.1	Enterococcus asini	3	3	3	3	3	3	3	3	9	3	3	3	6	4	3	3	3
GCF_002891025.1	Enterococcus avium	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_000394055.1	Enterococcus caccae	3	3	2	3	3	3	3	3	12	3	3	3	6	5	3	3	3
GCF_002269685.1	Enterococcus canintestini	3	3	3	3	3	3	3	3	9	3	3	3	6	4	3	3	3
GCF_001544375.1	Enterococcus canis	3	3	3	3	1	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000157355.2	Enterococcus casseliflavus	3	3	3	4	2	3	3	3	12	3	3	3	6	5	3	3	3
GCF_900474605.1	Enterococcus cecorum	3	3	1	3	2	3	3	3	7	2	3	3	6	4	3	3	3
GCF_000407225.1	Enterococcus columbae	3	3	1	3	2	3	3	3	7	3	3	3	6	4	3	3	3
GCF_000633635.1	Enterococcus crotali	3	3	2	0	3	3	3	3	13	3	3	3	6	4	3	3	3
GCF_018917555.1	Enterococcus devriesei	3	3	2	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_009933255.1	Enterococcus diestrammenae	3	3	1	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000406945.1	Enterococcus dispar	3	3	3	3	3	3	3	3	9	3	3	3	6	4	3	3	3
GCF_002277935.1	Enterococcus durans	3	3	3	3	3	3	3	3	11	3	3	3	6	4	3	3	3
GCF_000393015.1	Enterococcus faecalis	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_009734005.1	Enterococcus faecium	3	3	3	3	3	3	3	3	10	3	3	3	6	5	3	3	3
GCF_004309355.1	Enterococcus florum	3	3	3	3	2	3	3	3	9	3	3	3	6	4	3	3	3
GCF_003320875.1	Enterococcus gallinarum	3	3	3	3	2	3	3	3	12	3	3	3	6	6	3	3	3
GCF_003343305.1	Enterococcus gilvus	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_000393995.1	Enterococcus haemoperoxidus	3	3	2	5	3	3	3	3	13	3	3	3	6	4	3	3	3
GCF_001885945.1	Enterococcus hermanniensis	3	3	2	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_002278015.2	Enterococcus hirae	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_005405485.1	Enterococcus hulanensis	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_022846515.1	Enterococcus innesii	3	3	3	4	2	3	3	3	12	3	3	3	6	5	3	3	3
GCF_001885995.1	Enterococcus italicus	3	3	3	3	2	2	3	3	6	2	3	3	6	4	3	3	3
GCF_019343125.1	Enterococcus lactis	3	3	3	3	3	3	3	3	11	3	3	3	6	4	3	3	3
GCF_017830045.1	Enterococcus larvae	3	3	3	2	3	0	3	3	12	3	3	3	6	5	3	3	3
GCF_016909125.1	Enterococcus lemanii	3	3	3	2	2	3	3	3	9	2	3	0	6	4	3	3	3
GCF_027659535.1	Enterococcus malodoratus	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_001050095.1	Enterococcus massiliensis	3	3	3	3	2	3	3	3	9	3	3	3	6	5	3	3	3
GCF_900604485.1	Enterococcus mediterraneensis	3	3	3	3	2	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000394015.1	Enterococcus moraviensis	3	3	3	3	3	3	3	3	14	3	3	3	6	4	3	3	3
GCF_002813755.1	Enterococcus mundtii	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_005405245.1	Enterococcus nangangensis	0	0	0	0	2	3	0	0	0	0	3	3	3	4	0	0	0
GCF_000393975.1	Enterococcus pallens	3	3	3	4	2	3	3	3	11	3	3	3	6	7	3	3	3
GCF_000394035.1	Enterococcus phoeniculicola	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_005405205.1	Enterococcus pingfangensis	3	3	3	3	3	3	3	3	10	3	3	3	6	5	3	3	3
GCF_001730295.1	Enterococcus plantarum	3	3	2	4	3	3	3	3	14	3	3	3	6	4	3	3	3
GCF_001544295.1	Enterococcus pseudoavium	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_001730365.1	Enterococcus quebecensis	3	3	2	4	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_019175485.1	Enterococcus raffinosus	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_001886195.1	Enterococcus ratti	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_001742285.1	Enterococcus rivorum	3	3	2	3	3	3	3	3	10	2	3	3	6	4	3	3	3
GCF_001465345.1	Enterococcus rotai	3	3	2	3	3	3	3	3	10	2	3	3	6	4	3	3	3
GCF_000407285.1	Enterococcus saccharolyticus	3	3	2	3	2	3	3	3	8	2	3	3	6	4	3	3	3
GCF_011397115.1	Enterococcus saigonensis	3	3	3	3	3	3	3	3	9	3	3	3	6	5	3	3	3
GCF_001886225.1	Enterococcus silesiacus	3	3	2	4	3	3	3	3	13	3	3	3	6	4	3	3	3
GCF_005405265.1	Enterococcus songbeiensis	3	3	3	3	2	3	3	3	9	2	3	3	6	5	3	3	3
GCF_000407605.1	Enterococcus sulfureus	3	3	3	3	2	3	3	3	8	3	3	3	6	4	3	3	3
GCF_001886275.1	Enterococcus termitis	3	3	3	4	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_002290025.1	Enterococcus thailandicus	3	3	3	3	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_900104595.1	Enterococcus timonensis	3	3	3	3	2	3	3	1	9	2	3	3	6	4	3	3	3
GCF_001730285.1	Enterococcus ureasiticus	3	3	2	4	3	3	3	3	14	2	3	3	6	4	3	3	3
GCF_001730315.1	Enterococcus ureilyticus	3	3	2	4	3	3	3	3	13	3	3	3	6	4	3	3	3
GCF_005405345.1	Enterococcus viikkiensis	3	3	2	3	3	3	3	3	12	3	3	3	3	4	3	3	3
GCF_000407205.1	Enterococcus villorum	3	3	3	3	3	3	3	0	11	3	3	3	6	4	3	3	3
GCF_002197645.1	Enterococcus wangshanyuanii	3	3	3	4	3	3	3	3	12	3	3	3	6	4	3	3	3
GCF_005405365.1	Enterococcus xiangfangensis	3	3	3	3	3	3	3	3	10	3	3	3	6	5	3	3	3
GCF_000183205.1	Eremococcus coleocola	3	3	0	0	1	2	1	1	3	2	3	2	6	4	1	3	3
GCF_000301035.1	Facklamia hominis	3	3	0	1	1	2	2	0	5	2	3	2	6	4	0	3	3
GCF_015863265.1	Facklamia lactis	0	3	0	1	1	2	1	1	4	3	3	3	6	4	1	3	3
GCF_000245795.1	Facklamia languida	3	0	0	1	1	2	1	0	3	2	3	3	6	4	1	3	3
GCF_900100775.1	Facklamia miroungae	3	3	0	1	1	2	1	0	4	2	3	3	6	4	1	3	3
GCF_002847645.1	Falseniella ignava	3	2	0	0	1	2	2	1	3	1	3	3	6	4	2	3	3
GCF_001832885.1	Floricoccus penangensis	0	2	0	1	3	1	2	3	8	2	1	3	6	3	3	3	1
GCF_001832905.1	Floricoccus tropicus	0	2	1	2	3	1	1	3	8	2	2	3	6	3	2	3	1
GCF_024029675.1	Fructilactobacillus carniphilus	3	3	0	2	1	2	3	2	7	3	3	2	3	1	0	2	0
GCF_024029595.1	Fructilactobacillus cliffordii	3	3	0	2	1	2	2	2	6	3	3	2	3	2	0	1	0
GCF_000512295.1	Fructilactobacillus florum	3	0	1	2	1	2	3	3	3	3	3	2	3	4	0	1	0
GCF_000814735.1	Fructilactobacillus fructivorans	3	3	2	2	2	2	3	0	7	3	3	3	3	4	1	2	2
GCF_024029435.1	Fructilactobacillus hinvesii	3	3	1	2	1	2	3	3	4	3	3	2	3	3	0	0	0
GCF_024029915.1	Fructilactobacillus ixorae	3	3	0	2	0	3	0	2	6	3	3	2	3	2	0	2	0
GCF_001702115.1	Fructilactobacillus lindneri	3	3	0	2	4	3	3	3	5	3	3	3	3	4	0	2	1
GCF_024029335.1	Fructilactobacillus myrtifloralis	3	3	0	2	1	3	1	3	6	3	3	2	3	1	0	2	0
GCF_009496975.1	Fructilactobacillus sanfranciscensis	3	3	0	2	1	3	1	3	4	3	3	3	3	2	1	1	0
GCF_024029775.1	Fructobacillus americanaquae	0	1	1	0	1	0	0	0	2	3	0	0	0	0	0	0	0
GCF_023893635.1	Fructobacillus apis	3	1	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0
GCF_018437275.1	Fructobacillus broussonetiae	2	1	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0
GCF_023218935.1	Fructobacillus cardui	0	0	1	0	1	0	0	0	2	2	0	0	0	1	0	0	0
GCF_900112405.1	Fructobacillus durionis	3	1	0	0	1	0	0	0	5	3	0	0	0	0	0	0	0
GCF_001047075.2	Fructobacillus ficulneus	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0
GCF_014489725.1	Fructobacillus fructosus	3	1	0	0	2	0	0	0	5	3	0	0	0	0	0	0	0
GCF_018437225.1	Fructobacillus papyriferae	3	1	0	0	1	0	0	0	2	3	0	0	0	0	0	0	0
GCF_018437235.1	Fructobacillus papyrifericola	2	1	0	0	1	0	0	0	4	3	0	0	0	0	0	0	0
GCF_018437265.1	Fructobacillus parabroussonetiae	1	1	0	0	1	0	0	0	4	2	0	0	0	0	0	0	0
GCF_900108455.1	Fructobacillus pseudoficulneus	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0
GCF_016860625.1	Fructobacillus tropaeoli	0	1	1	0	1	0	0	0	2	3	0	0	0	1	0	0	0
GCF_009659415.1	Fundicoccus ignavus	3	0	0	2	1	2	3	2	4	3	3	3	6	4	2	3	3
GCF_029509535.1	Furfurilactobacillus milii	3	3	2	3	2	3	1	3	10	3	3	2	6	1	3	3	3
GCF_013394005.1	Furfurilactobacillus rossiae	3	3	2	3	2	3	1	3	10	3	3	2	6	1	3	3	3
GCF_007989765.1	Furfurilactobacillus siliginis	3	3	3	3	3	3	3	3	10	3	3	3	5	0	3	3	3
GCF_002847845.2	Globicatella sanguinis	3	3	0	1	1	2	3	1	3	0	3	3	6	4	0	3	3
GCF_900167405.1	Globicatella sulfidifaciens	3	3	0	1	1	2	3	1	3	0	3	3	6	4	1	3	3
GCF_019931005.1	Granulicatella adiacens	3	3	3	2	1	2	2	3	6	3	3	3	6	4	2	3	3
GCF_900111135.1	Granulicatella balaenopterae	3	3	2	2	1	2	3	3	6	3	3	3	6	4	1	3	3
GCF_000162475.2	Granulicatella elegans	3	3	2	2	1	2	2	3	5	3	3	3	6	4	1	3	3
GCF_001436605.1	Holzapfeliella floricola	0	0	0	3	3	2	2	0	9	1	1	1	3	4	1	0	3
GCF_000518205.1	Hutsoniella sourekii	3	3	0	1	1	2	2	0	3	3	3	2	6	4	1	3	3
GCF_023195815.2	Ignavigranum ruoffiae	3	3	0	1	1	2	1	1	3	2	3	3	6	4	1	3	3
GCF_900111355.1	Isobaculum melis	3	3	3	3	3	3	3	3	10	3	3	3	6	4	3	3	3
GCF_011100465.1	Jeotgalibaca arthritidis	3	3	2	3	1	2	3	3	8	3	3	3	6	4	3	3	3
GCF_003955755.1	Jeotgalibaca ciconiae	3	3	2	3	1	2	3	3	9	3	3	3	6	4	3	3	3
GCF_001263715.1	Jeotgalibaca dankookensis	3	3	2	2	1	2	3	3	9	3	3	3	6	4	3	3	3
GCF_011299095.1	Jeotgalibaca porci	3	3	2	3	1	3	3	3	9	3	3	3	6	4	3	3	3
GCF_013407595.1	Lacticaseibacillus absianus	3	0	1	2	2	2	3	3	8	1	3	3	3	0	3	3	3
GCF_003946165.1	Lacticaseibacillus baoqingensis	3	1	3	3	4	2	3	3	9	3	3	3	3	0	3	3	3
GCF_001436115.1	Lacticaseibacillus brantae	3	1	1	3	3	3	3	3	9	3	3	3	3	0	3	3	3
GCF_001436615.1	Lacticaseibacillus camelliae	3	0	1	3	3	2	3	3	10	2	3	3	3	0	2	3	3
GCF_000829055.1	Lacticaseibacillus casei	3	1	1	3	3	2	3	3	10	3	3	3	3	0	3	3	3
GCF_018363075.1	Lacticaseibacillus chiayiensis	3	1	1	3	3	2	3	3	10	3	3	3	3	0	3	3	3
GCF_003946115.1	Lacticaseibacillus daqingensis	3	1	0	3	1	2	3	3	10	3	3	3	3	0	3	3	3
GCF_003946465.1	Lacticaseibacillus hegangensis	3	0	0	3	3	2	3	3	9	1	3	3	3	0	2	3	3
GCF_004010095.1	Lacticaseibacillus hulanensis	3	0	1	2	3	3	3	3	7	1	3	3	1	0	3	3	3
GCF_003946485.1	Lacticaseibacillus jixianensis	3	1	1	3	3	2	3	3	9	2	3	3	3	0	2	3	3
GCF_020180945.1	Lacticaseibacillus kribbianus	3	1	0	2	2	2	3	3	7	3	3	3	3	0	3	2	3
GCF_009184845.1	Lacticaseibacillus manihotivorans	3	1	1	3	4	3	3	3	10	3	3	3	3	0	3	3	3
GCF_016861765.1	Lacticaseibacillus mingshuiensis	3	1	2	3	2	2	3	3	7	3	3	3	3	0	2	3	3
GCF_001434705.1	Lacticaseibacillus nasuensis	3	0	0	3	2	2	3	3	7	2	3	1	3	0	2	3	3
GCF_001591865.1	Lacticaseibacillus pantheris	3	1	2	2	1	2	3	3	6	1	3	2	3	0	3	3	3
GCF_000155515.2	Lacticaseibacillus paracasei	3	1	1	3	3	1	3	3	10	3	3	3	3	0	3	3	3
GCF_025490915.1	Lacticaseibacillus parakribbianus	3	2	0	2	2	3	2	3	7	3	3	3	3	0	3	2	3
GCF_003946305.1	Lacticaseibacillus porcinae	3	1	2	3	4	3	3	3	10	3	3	3	3	0	3	3	3
GCF_006151905.1	Lacticaseibacillus rhamnosus	3	1	1	3	3	3	3	3	10	3	3	3	3	0	3	3	3
GCF_001437465.1	Lacticaseibacillus saniviri	3	1	2	3	3	3	3	3	5	3	3	3	3	0	3	3	3
GCF_001436225.1	Lacticaseibacillus sharpeae	3	1	0	2	4	3	3	3	7	1	3	3	3	0	3	3	3
GCF_003946025.1	Lacticaseibacillus songhuajiangensis	3	1	2	2	4	3	3	3	7	3	3	3	3	0	3	3	3
GCF_003946175.1	Lacticaseibacillus suibinensis	3	0	0	3	3	3	3	3	10	3	3	3	3	0	2	3	3
GCF_016861845.1	Lacticaseibacillus suilingensis	3	0	0	3	3	3	3	3	10	3	3	3	3	0	2	3	3
GCF_001436135.1	Lacticaseibacillus thailandensis	3	0	1	2	1	2	3	3	9	0	3	3	3	0	2	3	3
GCF_003946405.1	Lacticaseibacillus yichunensis	3	1	1	3	2	2	3	3	7	3	3	3	3	0	2	3	3
GCF_900492555.1	Lacticaseibacillus zeae	3	1	1	3	3	3	3	3	10	3	3	3	3	0	3	3	3
GCF_009687905.1	Lacticaseibacillus zhaodongensis	3	0	1	2	4	3	3	2	7	3	3	3	2	0	3	3	3
GCF_000425865.1	Lacticigenium naphthae	3	3	2	3	3	3	3	2	10	3	3	3	6	4	3	2	3
GCF_007991855.1	Lactiplantibacillus argentoratensis	3	3	2	3	1	3	3	3	10	3	3	3	5	4	3	3	3
GCF_005405005.1	Lactiplantibacillus daoliensis	3	3	3	3	1	3	3	3	10	3	3	3	5	4	3	3	3
GCF_005405085.1	Lactiplantibacillus daowaiensis	3	3	3	3	1	3	3	3	10	3	3	3	6	4	3	3	3
GCF_005405105.1	Lactiplantibacillus dongliensis	3	3	2	3	1	3	3	3	10	3	3	3	6	4	3	3	3
GCF_000565485.1	Lactiplantibacillus fabifermentans	3	3	2	3	1	3	3	3	10	3	3	3	3	4	3	3	3
GCF_003885105.1	Lactiplantibacillus garii	3	3	3	3	1	3	3	3	10	3	3	3	5	4	3	3	3
GCF_001039045.1	Lactiplantibacillus herbarum	3	3	2	3	1	3	3	3	10	3	3	3	4	3	3	3	3
GCF_005405425.1	Lactiplantibacillus modestisalitolerans	3	3	3	3	1	3	3	3	9	3	3	3	4	4	3	3	3
GCF_005405385.1	Lactiplantibacillus mudanjiangensis	3	3	2	3	1	3	3	3	10	3	3	3	4	4	3	3	3
GCF_005405065.1	Lactiplantibacillus nangangensis	3	3	3	3	1	3	3	3	10	3	3	3	5	4	3	3	3
