RepName	Prediction	RepSeq	Total	SeqList
FtsQ.75	FtsQ	WP_159563961.1	1	['WP_159563961.1']
FtsQ.76	FtsQ	WP_160332380.1	1	['WP_160332380.1']
FtsQ.77	FtsQ	WP_162259761.1	2	['WP_162259761.1', 'WP_056992215.1']
FtsQ.78	FtsQ	WP_162614590.1	1	['WP_162614590.1']
FtsQ.79	FtsQ	WP_164228486.1	15	['WP_164228486.1', 'WP_083940771.1', 'WP_115256818.1', 'WP_038431455.1', 'WP_003101032.1', 'WP_054278678.1', 'WP_003108172.1', 'WP_165993643.1', 'WP_206156360.1', 'WP_115243002.1', 'WP_018366888.1', 'WP_007894747.1', 'WP_071792688.1', 'WP_102777474.1', 'WP_003083141.1']
FtsQ.80	FtsQ	WP_166008340.1	1	['WP_166008340.1']
FtsQ.81	FtsQ	WP_090290123.1	1	['WP_090290123.1']
FtsQ.82	FtsQ	WP_258511730.1	3	['WP_258511730.1', 'WP_018370676.1', 'WP_199575286.1']
FtsQ.83	FtsQ	WP_167800484.1	3	['WP_167800484.1', 'WP_166033679.1', 'WP_126791104.1']
FtsQ.84	FtsQ	WP_167849703.1	35	['WP_167849703.1', 'WP_048702740.1', 'WP_056938067.1', 'WP_076617636.1', 'WP_125567719.1', 'WP_125676598.1', 'WP_125769642.1', 'WP_125707955.1', 'WP_164505062.1', 'WP_125589513.1', 'WP_125592318.1', 'WP_158294582.1', 'WP_129044827.1', 'WP_099974641.1', 'WP_162261210.1', 'WP_169751871.1', 'WP_075887788.1', 'WP_056945165.1', 'WP_166667277.1', 'WP_162898006.1', 'WP_120142242.1', 'WP_119326930.1', 'WP_223876455.1', 'WP_057812034.1', 'WP_186811214.1', 'WP_162253410.1', 'WP_153384362.1', 'WP_161936646.1', 'WP_056952045.1', 'WP_158136972.1', 'WP_054643643.1', 'WP_125702541.1', 'WP_025024228.1', 'WP_164508310.1', 'WP_057765617.1']
FtsQ.85	FtsQ	WP_126808082.1	1	['WP_126808082.1']
FtsQ.86	FtsQ	WP_166062113.1	4	['WP_166062113.1', 'WP_062471258.1', 'WP_166163095.1', 'WP_164544070.1']
FtsQ.87	FtsQ	WP_001124855.1	1	['WP_001124855.1']
FtsQ.88	FtsQ	WP_045611983.1	17	['WP_045611983.1', 'WP_000031176.1', 'WP_000031145.1', 'WP_109289758.1', 'WP_120718891.1', 'WP_120769938.1', 'WP_140223989.1', 'WP_140833130.1', 'WP_061864276.1', 'WP_219966824.1', 'WP_261804790.1', 'WP_000031123.1', 'WP_261150348.1', 'WP_006145212.1', 'WP_006148103.1', 'WP_132972460.1', 'WP_075566808.1']
FtsQ.89	FtsQ	WP_022791743.1	1	['WP_022791743.1']
FtsQ.90	FtsQ	WP_023390941.1	1	['WP_023390941.1']
FtsQ.91	FtsQ	WP_025013182.1	5	['WP_025013182.1', 'WP_003565163.1', 'WP_014571303.1', 'WP_129300850.1', 'WP_093997844.1']
FtsQ.92	FtsQ	WP_025021651.1	1	['WP_025021651.1']
FtsQ.93	FtsQ	WP_027825454.1	1	['WP_027825454.1']
FtsQ.94	FtsQ	WP_028119014.1	1	['WP_028119014.1']
FtsQ.95	FtsQ	WP_029691808.1	4	['WP_029691808.1', 'WP_018381295.1', 'WP_062709690.1', 'WP_104968312.1']
FtsQ.96	FtsQ	WP_035189817.1	1	['WP_035189817.1']
FtsQ.97	FtsQ	WP_039945615.1	1	['WP_039945615.1']
FtsQ.98	FtsQ	WP_040804873.1	3	['WP_040804873.1', 'WP_109833640.1', 'WP_019788193.1']
FtsQ.99	FtsQ	WP_047035745.1	1	['WP_047035745.1']
FtsQ.100	FtsQ	WP_051188979.1	1	['WP_051188979.1']
FtsQ.101	FtsQ	WP_022528103.1	3	['WP_022528103.1', 'WP_057818217.1', 'WP_063515161.1']
FtsQ.102	FtsQ	WP_051237689.1	1	['WP_051237689.1']
FtsQ.103	FtsQ	WP_052236626.1	1	['WP_052236626.1']
FtsQ.104	FtsQ	WP_054711366.1	13	['WP_054711366.1', 'WP_063285256.1', 'WP_089109160.1', 'WP_056941853.1', 'WP_054736866.1', 'WP_089120839.1', 'WP_098825156.1', 'WP_089137017.1', 'WP_137630507.1', 'WP_203649095.1', 'WP_168925587.1', 'WP_155432177.1', 'WP_056948164.1']
FtsQ.105	FtsQ	WP_056937015.1	2	['WP_056937015.1', 'WP_056995370.1']
FtsQ.106	FtsQ	WP_056946066.1	2	['WP_056946066.1', 'WP_056946066.1']
FtsQ.107	FtsQ	WP_056957547.1	1	['WP_056957547.1']
FtsQ.108	FtsQ	WP_056965899.1	5	['WP_056965899.1', 'WP_057907809.1', 'WP_094365692.1', 'WP_106483118.1', 'WP_154242184.1']
FtsQ.109	FtsQ	WP_056968916.1	2	['WP_056968916.1', 'WP_056957119.1']
FtsQ.110	FtsQ	WP_056974915.1	1	['WP_056974915.1']
FtsQ.111	FtsQ	WP_057740813.1	2	['WP_057740813.1', 'WP_251547023.1']
FtsQ.112	FtsQ	WP_057768701.1	1	['WP_057768701.1']
FtsQ.113	FtsQ	WP_057773054.1	5	['WP_057773054.1', 'WP_057806906.1', 'WP_057752239.1', 'WP_052694531.1', 'WP_057783930.1']
FtsQ.114	FtsQ	WP_057777408.1	5	['WP_057777408.1', 'WP_052467330.1', 'WP_044011063.1', 'WP_170999556.1', 'WP_010622428.1']
FtsQ.115	FtsQ	WP_051258422.1	1	['WP_051258422.1']
FtsQ.116	FtsQ	WP_057799757.1	1	['WP_057799757.1']
FtsQ.117	FtsQ	WP_021001382.1	6	['WP_021001382.1', 'WP_126466546.1', 'WP_186832598.1', 'WP_024052069.1', 'WP_006269887.1', 'WP_003078310.1']
FtsQ.118	FtsQ	WP_018375920.1	8	['WP_018375920.1', 'WP_018165557.1', 'WP_018365141.1', 'WP_157628794.1', 'WP_006531560.1', 'WP_199544444.1', 'WP_074533845.1', 'WP_020916368.1']
FtsQ.119	FtsQ	WP_003686331.1	2	['WP_003686331.1', 'WP_093625639.1']
FtsQ.120	FtsQ	WP_003690311.1	3	['WP_003690311.1', 'WP_057828952.1', 'WP_083481879.1']
FtsQ.121	FtsQ	WP_003776260.1	1	['WP_003776260.1']
FtsQ.122	FtsQ	WP_005605974.1	1	['WP_005605974.1']
FtsQ.123	FtsQ	WP_006308023.1	1	['WP_006308023.1']
FtsQ.124	FtsQ	WP_006418204.1	1	['WP_006418204.1']
FtsQ.125	FtsQ	WP_006586557.1	2	['WP_006586557.1', 'WP_006588083.1']
FtsQ.126	FtsQ	WP_006703026.1	1	['WP_006703026.1']
FtsQ.127	FtsQ	WP_006729182.1	1	['WP_006729182.1']
FtsQ.128	FtsQ	WP_006739574.1	1	['WP_006739574.1']
FtsQ.129	FtsQ	WP_009490057.1	1	['WP_009490057.1']
FtsQ.130	FtsQ	WP_009553648.1	1	['WP_009553648.1']
FtsQ.131	FtsQ	WP_018659478.1	1	['WP_018659478.1']
FtsQ.132	FtsQ	WP_010620114.1	2	['WP_010620114.1', 'WP_034526168.1']
FtsQ.133	FtsQ	WP_010759618.1	13	['WP_010759618.1', 'WP_067626295.1', 'WP_071856463.1', 'WP_227873778.1', 'WP_270328145.1', 'WP_016180553.1', 'WP_114525364.1', 'WP_137609847.1', 'WP_137612890.1', 'WP_137617544.1', 'WP_249354955.1', 'WP_216428437.1', 'WP_245001252.1']
FtsQ.134	FtsQ	WP_010767162.1	1	['WP_010767162.1']
FtsQ.135	FtsQ	WP_014073718.1	1	['WP_014073718.1']
FtsQ.136	FtsQ	WP_014215277.1	1	['WP_014215277.1']
FtsQ.137	FtsQ	WP_014634253.1	3	['WP_014634253.1', 'WP_003094410.1', 'WP_011225776.1']
FtsQ.138	FtsQ	WP_015510164.1	7	['WP_015510164.1', 'WP_003127639.1', 'WP_140965681.1', 'WP_231586084.1', 'WP_016175670.1', 'WP_137605051.1', 'WP_122647023.1']
FtsQ.139	FtsQ	WP_016183291.1	2	['WP_016183291.1', 'WP_016251195.1']
FtsQ.140	FtsQ	WP_016184572.1	2	['WP_016184572.1', 'WP_007207104.1']
FtsQ.141	FtsQ	WP_018029374.1	10	['WP_018029374.1', 'WP_002289713.1', 'WP_003089352.1', 'WP_027975754.1', 'WP_057490693.1', 'WP_003079163.1', 'WP_101774339.1', 'WP_061100192.1', 'WP_009853691.1', 'WP_269725734.1']
FtsQ.142	FtsQ	WP_018368752.1	1	['WP_018368752.1']
FtsQ.143	FtsQ	WP_018370883.1	1	['WP_018370883.1']
FtsQ.144	FtsQ	WP_018372943.1	1	['WP_018372943.1']
FtsQ.145	FtsQ	WP_010754119.1	5	['WP_010754119.1', 'WP_202625787.1', 'WP_244874955.1', 'WP_245813044.1', 'WP_232061274.1']
FtsQ.146	FtsQ	WP_057827724.1	2	['WP_057827724.1', 'WP_057906858.1']
FtsQ.147	FtsQ	WP_302470532.1	1	['WP_302470532.1']
FtsQ.148	FtsQ	WP_057896620.1	6	['WP_057896620.1', 'WP_057744968.1', 'WP_034986654.1', 'WP_056959999.1', 'WP_057875842.1', 'WP_157060825.1']
FtsQ.149	FtsQ	WP_083484683.1	1	['WP_083484683.1']
FtsQ.150	FtsQ	WP_078806869.1	1	['WP_078806869.1']
FtsQ.151	FtsQ	WP_065124254.1	2	['WP_065124254.1', 'WP_011673541.1']
FtsQ.152	FtsQ	WP_066023820.1	4	['WP_066023820.1', 'WP_025086869.1', 'WP_225418307.1', 'WP_280606156.1']
FtsQ.153	FtsQ	WP_067088316.1	5	['WP_067088316.1', 'WP_075104000.1', 'WP_076995371.1', 'WP_119877047.1', 'WP_075099785.1']
FtsQ.154	FtsQ	WP_067395330.1	1	['WP_067395330.1']
FtsQ.155	FtsQ	WP_070793161.1	2	['WP_070793161.1', 'WP_070788258.1']
FtsQ.156	FtsQ	WP_061840388.1	3	['WP_061840388.1', 'WP_083498219.1', 'WP_186810675.1']
FtsQ.157	FtsQ	WP_067972068.1	1	['WP_067972068.1']
FtsQ.158	FtsQ	WP_077276500.1	2	['WP_077276500.1', 'WP_125984423.1']
FtsQ.159	FtsQ	WP_067979854.1	1	['WP_067979854.1']
FtsQ.160	FtsQ	WP_068162008.1	10	['WP_068162008.1', 'WP_172356447.1', 'WP_096039985.1', 'WP_094784940.1', 'WP_072353536.1', 'WP_172208449.1', 'WP_180747399.1', 'WP_179610329.1', 'WP_179296176.1', 'WP_162542460.1']
FtsQ.161	FtsQ	WP_071865932.1	8	['WP_071865932.1', 'WP_010751485.1', 'WP_081133888.1', 'WP_010719777.1', 'WP_002286633.1', 'WP_002329026.1', 'WP_071855928.1', 'WP_095803748.1']
FtsQ.162	FtsQ	WP_068991441.1	1	['WP_068991441.1']
FtsQ.163	FtsQ	WP_071456411.1	4	['WP_071456411.1', 'WP_079347403.1', 'WP_125957085.1', 'WP_257701544.1']
FtsQ.164	FtsQ	WP_057890329.1	2	['WP_057890329.1', 'WP_150204238.1']
FtsQ.165	FtsQ	WP_078756008.1	2	['WP_078756008.1', 'WP_066125379.1']
FtsQ.166	FtsQ	WP_060777998.1	1	['WP_060777998.1']
FtsQ.167	FtsQ	WP_071130826.1	1	['WP_071130826.1']
FtsQ.168	FtsQ	WP_060776240.1	1	['WP_060776240.1']
FtsQ.169	FtsQ	WP_084098764.1	1	['WP_084098764.1']
FtsQ.170	FtsQ	WP_060554056.1	1	['WP_060554056.1']
FtsQ.171	FtsQ	WP_084136643.1	1	['WP_084136643.1']
FtsQ.172	FtsQ	WP_087033365.1	9	['WP_087033365.1', 'WP_106450700.1', 'WP_108031330.1', 'WP_159072193.1', 'WP_086628333.1', 'WP_086985424.1', 'WP_177208610.1', 'WP_084253941.1', 'WP_086988348.1']
FtsW.1	FtsW	WP_229252314.1	3	['WP_229252314.1', 'WP_035027460.1', 'WP_034570551.1']
FtsW.2	FtsW	WP_015509796.1	13	['WP_015509796.1', 'WP_071866336.1', 'WP_113849738.1', 'WP_170920146.1', 'WP_137663053.1', 'WP_071858110.1', 'WP_172843726.1', 'WP_070504975.1', 'WP_114525419.1', 'WP_218257541.1', 'WP_270325593.1', 'WP_216429998.1', 'WP_137613561.1']
FtsW.3	FtsW	WP_028291757.1	3	['WP_028291757.1', 'WP_128684967.1', 'WP_002820315.1']
FtsW.4	FtsW	WP_225877937.1	10	['WP_225877937.1', 'WP_057893574.1', 'WP_125703644.1', 'WP_125696274.1', 'WP_025012968.1', 'WP_011674463.1', 'WP_005710125.1', 'WP_129300889.1', 'WP_044112497.1', 'WP_276580102.1']
FtsW.5	FtsW	WP_133441464.1	1	['WP_133441464.1']
FtsW.6	FtsW	WP_111948832.1	1	['WP_111948832.1']
FtsW.7	FtsW	WP_225418509.1	8	['WP_225418509.1', 'WP_068280384.1', 'WP_010009695.1', 'WP_083485595.1', 'WP_125548827.1', 'WP_125552199.1', 'WP_137637721.1', 'WP_057904810.1']
FtsW.8	FtsW	WP_225353402.1	23	['WP_225353402.1', 'WP_054650901.1', 'WP_155285890.1', 'WP_235808720.1', 'WP_125757808.1', 'WP_125584971.1', 'WP_257793761.1', 'WP_056992165.1', 'WP_241559480.1', 'WP_056975403.1', 'WP_225419233.1', 'WP_056962336.1', 'WP_235806653.1', 'WP_125750721.1', 'WP_125582885.1', 'WP_125707082.1', 'WP_204118781.1', 'WP_179395767.1', 'WP_011374777.1', 'WP_004270744.1', 'WP_057907895.1', 'WP_106483268.1', 'WP_208422359.1']
FtsW.9	FtsW	WP_223876789.1	17	['WP_223876789.1', 'WP_029778828.1', 'WP_047999985.1', 'WP_057706648.1', 'WP_050338432.1', 'WP_125071041.1', 'WP_137625871.1', 'WP_137607269.1', 'WP_137616342.1', 'WP_137629549.1', 'WP_137641297.1', 'WP_130843884.1', 'WP_137645507.1', 'WP_137643353.1', 'WP_057717490.1', 'WP_003645668.1', 'WP_021732077.1']
FtsW.10	FtsW	WP_218257542.1	26	['WP_218257542.1', 'WP_071858109.1', 'WP_095803602.1', 'WP_070504979.1', 'WP_010778546.1', 'WP_137613560.1', 'WP_171004863.1', 'WP_216429999.1', 'WP_002357833.1', 'WP_010755332.1', 'WP_071866337.1', 'WP_016186378.1', 'WP_010719601.1', 'WP_113849737.1', 'WP_015509795.1', 'WP_140965571.1', 'WP_077276444.1', 'WP_166035198.1', 'WP_071456746.1', 'WP_079348164.1', 'WP_125957942.1', 'WP_125984045.1', 'WP_126794944.1', 'WP_207027080.1', 'WP_257699912.1', 'WP_010741984.1']
FtsW.11	FtsW	WP_007208209.1	9	['WP_007208209.1', 'WP_014124897.1', 'WP_016174852.1', 'WP_016185399.1', 'WP_028789379.1', 'WP_068706642.1', 'WP_123936482.1', 'WP_124005656.1', 'WP_188367874.1']
FtsW.12	FtsW	WP_034570548.1	3	['WP_034570548.1', 'WP_092653830.1', 'WP_010050912.1']
FtsW.13	FtsW	WP_133363961.1	5	['WP_133363961.1', 'WP_205143616.1', 'WP_168722401.1', 'WP_230096393.1', 'WP_230098336.1']
FtsW.14	FtsW	WP_115270308.1	125	['WP_115270308.1', 'WP_027976368.1', 'WP_057490983.1', 'WP_128833122.1', 'WP_003091502.1', 'WP_002263164.1', 'WP_003081417.1', 'WP_051177978.1', 'WP_000078931.1', 'WP_068164276.1', 'WP_070788128.1', 'WP_070791637.1', 'WP_094784276.1', 'WP_096040237.1', 'WP_096815057.1', 'WP_031365239.1', 'WP_188347596.1', 'WP_109834767.1', 'WP_172355714.1', 'WP_172209823.1', 'WP_180746650.1', 'WP_102776964.1', 'WP_003100065.1', 'WP_071793380.1', 'WP_003085945.1', 'WP_004234345.1', 'WP_018365757.1', 'WP_165992530.1', 'WP_121835740.1', 'WP_115250829.1', 'WP_046159397.1', 'WP_018370019.1', 'WP_027969528.1', 'WP_205017146.1', 'WP_205009037.1', 'WP_078807734.1', 'WP_018030100.1', 'WP_018363574.1', 'WP_018369186.1', 'WP_018375241.1', 'WP_029691719.1', 'WP_054278479.1', 'WP_067061071.1', 'WP_013852069.1', 'WP_003065642.1', 'WP_074564053.1', 'WP_009854569.1', 'WP_006532657.1', 'WP_199542490.1', 'WP_199575587.1', 'WP_258511940.1', 'WP_154454221.1', 'WP_074533636.1', 'WP_115242552.1', 'WP_020917092.1', 'WP_007894145.1', 'WP_006739681.1', 'WP_117744462.1', 'WP_120701768.1', 'WP_135782547.1', 'WP_140814162.1', 'WP_128835953.1', 'WP_200772669.1', 'WP_013903860.1', 'WP_126404530.1', 'WP_251456975.1', 'WP_002895877.1', 'WP_160332576.1', 'WP_009488558.1', 'WP_037617065.1', 'WP_005589707.1', 'WP_049533594.1', 'WP_006148857.1', 'WP_025168720.1', 'WP_000830665.1', 'WP_045611374.1', 'WP_000830659.1', 'WP_109289787.1', 'WP_020902238.1', 'WP_120770409.1', 'WP_126466627.1', 'WP_084947573.1', 'WP_140224314.1', 'WP_140833699.1', 'WP_049513690.1', 'WP_024051924.1', 'WP_209626490.1', 'WP_061590331.1', 'WP_219966525.1', 'WP_261042535.1', 'WP_075567886.1', 'WP_006269943.1', 'WP_003073258.1', 'WP_000830415.1', 'WP_061602037.1', 'WP_000830666.1', 'WP_138707435.1', 'WP_062712342.1', 'WP_018380968.1', 'WP_018164173.1', 'WP_068991661.1', 'WP_002962061.1', 'WP_002997308.1', 'WP_004226086.1', 'WP_146566169.1', 'WP_168549851.1', 'WP_018373044.1', 'WP_018372203.1', 'WP_237396085.1', 'WP_012027447.1', 'WP_026183259.1', 'WP_018379081.1', 'WP_027971743.1', 'WP_093650702.1', 'WP_099092144.1', 'WP_075104826.1', 'WP_076995592.1', 'WP_104967516.1', 'WP_116877751.1', 'WP_119876797.1', 'WP_079276145.1', 'WP_249116157.1', 'WP_159549323.1', 'WP_253363857.1', 'WP_075099376.1']
FtsW.15	FtsW	WP_071457101.1	10	['WP_071457101.1', 'WP_079348055.1', 'WP_125956724.1', 'WP_165866638.1', 'WP_077276789.1', 'WP_136136815.1', 'WP_166035729.1', 'WP_126791428.1', 'WP_207027620.1', 'WP_257699712.1']
FtsW.16	FtsW	WP_187529156.1	4	['WP_187529156.1', 'WP_157049534.1', 'WP_006845475.1', 'WP_166010532.1']
FtsW.17	FtsW	WP_209527292.1	76	['WP_209527292.1', 'WP_125983102.1', 'WP_010761149.1', 'WP_010764738.1', 'WP_010772712.1', 'WP_035010697.1', 'WP_208927836.1', 'WP_067391673.1', 'WP_069644891.1', 'WP_069653001.1', 'WP_069640814.1', 'WP_069633535.1', 'WP_069698374.1', 'WP_071456540.1', 'WP_071877821.1', 'WP_069662799.1', 'WP_079345259.1', 'WP_088268916.1', 'WP_125956167.1', 'WP_125943790.1', 'WP_077275337.1', 'WP_126831137.1', 'WP_126807374.1', 'WP_126811987.1', 'WP_136135938.1', 'WP_166035176.1', 'WP_126794759.1', 'WP_209556726.1', 'WP_114290389.1', 'WP_257699457.1', 'WP_275470344.1', 'WP_002356686.1', 'WP_067622515.1', 'WP_071858772.1', 'WP_071856156.1', 'WP_010719353.1', 'WP_016180308.1', 'WP_114524469.1', 'WP_146622982.1', 'WP_137608399.1', 'WP_137612966.1', 'WP_137618561.1', 'WP_137665794.1', 'WP_045135980.1', 'WP_216429100.1', 'WP_218255593.1', 'WP_010739098.1', 'WP_218325323.1', 'WP_010758940.1', 'WP_078807531.1', 'WP_016171764.1', 'WP_005225982.1', 'WP_048605097.1', 'WP_071863839.1', 'WP_003126454.1', 'WP_137605293.1', 'WP_173103184.1', 'WP_077454538.1', 'WP_122645107.1', 'WP_233419280.1', 'WP_071867119.1', 'WP_010768503.1', 'WP_010751144.1', 'WP_161868727.1', 'WP_016252118.1', 'WP_018451621.1', 'WP_136952869.1', 'WP_135253753.1', 'WP_202585017.1', 'WP_126826879.1', 'WP_204653456.1', 'WP_071873705.1', 'WP_275468701.1', 'WP_126778842.1', 'WP_166007710.1', 'WP_071131044.1']
FtsW.18	FtsW	WP_057798704.1	10	['WP_057798704.1', 'WP_011673525.1', 'WP_057802698.1', 'WP_014215308.1', 'WP_008841335.1', 'WP_083490451.1', 'WP_057807923.1', 'WP_046872191.1', 'WP_057773581.1', 'WP_147206758.1']
FtsW.19	FtsW	WP_003141864.1	2	['WP_003141864.1', 'WP_059348596.1']
FtsW.20	FtsW	WP_208559810.1	18	['WP_208559810.1', 'WP_003777653.1', 'WP_232219609.1', 'WP_028274624.1', 'WP_023177548.1', 'WP_034550588.1', 'WP_035028626.1', 'WP_007722522.1', 'WP_035022410.1', 'WP_034548408.1', 'WP_234987906.1', 'WP_027107589.1', 'WP_034559328.1', 'WP_034569302.1', 'WP_051926659.1', 'WP_092651190.1', 'WP_047390141.1', 'WP_092481146.1']
FtsW.21	FtsW	WP_018659637.1	12	['WP_018659637.1', 'WP_106193451.1', 'WP_091489322.1', 'WP_146924674.1', 'WP_236048849.1', 'WP_091482012.1', 'WP_208559809.1', 'WP_091265338.1', 'WP_091633876.1', 'WP_091531779.1', 'WP_072693488.1', 'WP_084136887.1']
FtsW.22	FtsW	WP_002357834.1	1	['WP_002357834.1']
FtsW.23	FtsW	WP_025084714.1	35	['WP_025084714.1', 'WP_056967706.1', 'WP_034542769.1', 'WP_056952085.1', 'WP_057739324.1', 'WP_125702605.1', 'WP_135370961.1', 'WP_048702807.1', 'WP_010623822.1', 'WP_041499435.1', 'WP_057880154.1', 'WP_075887777.1', 'WP_010020080.1', 'WP_102195570.1', 'WP_119318826.1', 'WP_120142290.1', 'WP_119326901.1', 'WP_137610504.1', 'WP_057811995.1', 'WP_057891095.1', 'WP_057887354.1', 'WP_153384442.1', 'WP_059074185.1', 'WP_057763972.1', 'WP_125592246.1', 'WP_076617528.1', 'WP_125566610.1', 'WP_125762594.1', 'WP_125591255.1', 'WP_099974672.1', 'WP_129044851.1', 'WP_125677661.1', 'WP_125712731.1', 'WP_125767744.1', 'WP_125707872.1']
FtsW.24	FtsW	WP_067980939.1	7	['WP_067980939.1', 'WP_257721200.1', 'WP_082632775.1', 'WP_060778390.1', 'WP_039935421.1', 'WP_234983512.1', 'WP_067976467.1']
FtsW.25	FtsW	WP_067977999.1	1	['WP_067977999.1']
FtsW.26	FtsW	WP_056977975.1	77	['WP_056977975.1', 'WP_172187165.1', 'WP_034526267.1', 'WP_010620062.1', 'WP_045807974.1', 'WP_056943520.1', 'WP_057804031.1', 'WP_057730612.1', 'WP_057877524.1', 'WP_125546930.1', 'WP_125572763.1', 'WP_261810848.1', 'WP_021741119.1', 'WP_048735856.1', 'WP_061775913.1', 'WP_125762981.1', 'WP_125577198.1', 'WP_125579722.1', 'WP_125682551.1', 'WP_125685681.1', 'WP_125693671.1', 'WP_125700047.1', 'WP_125639830.1', 'WP_135368668.1', 'WP_143463213.1', 'WP_129031890.1', 'WP_203637299.1', 'WP_203646921.1', 'WP_203641867.1', 'WP_208909420.1', 'WP_168850144.1', 'WP_020088768.1', 'WP_057733708.1', 'WP_098825079.1', 'WP_056941821.1', 'WP_056948096.1', 'WP_054736108.1', 'WP_089109204.1', 'WP_089120870.1', 'WP_054654660.1', 'WP_137630347.1', 'WP_155430626.1', 'WP_203649024.1', 'WP_232843558.1', 'WP_056982177.1', 'WP_035168496.1', 'WP_008855536.1', 'WP_039933266.1', 'WP_056981563.1', 'WP_057824118.1', 'WP_095339449.1', 'WP_125008843.1', 'WP_057909546.1', 'WP_203631053.1', 'WP_013727564.1', 'WP_227361361.1', 'WP_057864614.1', 'WP_065902979.1', 'WP_056997336.1', 'WP_109249385.1', 'WP_008210727.1', 'WP_029508391.1', 'WP_035178226.1', 'WP_003555242.1', 'WP_121977524.1', 'WP_241772190.1', 'WP_083437201.1', 'WP_105956303.1', 'WP_120784224.1', 'WP_225361868.1', 'WP_225426747.1', 'WP_138727165.1', 'WP_054450199.1', 'WP_220729802.1', 'WP_249511490.1', 'WP_260116266.1', 'WP_286136457.1']
FtsW.27	FtsW	WP_084097823.1	1	['WP_084097823.1']
FtsW.28	FtsW	WP_056965969.1	2	['WP_056965969.1', 'WP_220750919.1']
FtsW.29	FtsW	WP_126780053.1	1	['WP_126780053.1']
FtsW.30	FtsW	WP_062467677.1	13	['WP_062467677.1', 'WP_166062032.1', 'WP_164544074.1', 'WP_083686780.1', 'WP_068623649.1', 'WP_106448744.1', 'WP_108031453.1', 'WP_107995849.1', 'WP_119093099.1', 'WP_177194334.1', 'WP_086985335.1', 'WP_086941689.1', 'WP_068562190.1']
FtsW.31	FtsW	WP_009491948.1	1	['WP_009491948.1']
FtsW.32	FtsW	WP_060777854.1	3	['WP_060777854.1', 'WP_060776372.1', 'WP_143485095.1']
FtsW.33	FtsW	WP_246415526.1	15	['WP_246415526.1', 'WP_042218865.1', 'WP_109245596.1', 'WP_165713263.1', 'WP_019293734.1', 'WP_251423421.1', 'WP_251712775.1', 'WP_153496564.1', 'WP_011835464.1', 'WP_096817306.1', 'WP_120771927.1', 'WP_142767064.1', 'WP_075524539.1', 'WP_244842668.1', 'WP_058204556.1']
FtsW.34	FtsW	WP_252750392.1	9	['WP_252750392.1', 'WP_054646669.1', 'WP_252796584.1', 'WP_252767036.1', 'WP_252795417.1', 'WP_252779639.1', 'WP_035422397.1', 'WP_039144877.1', 'WP_156843365.1']
FtsW.35	FtsW	WP_010755331.1	7	['WP_010755331.1', 'WP_010750913.1', 'WP_016186377.1', 'WP_081133637.1', 'WP_034698076.1', 'WP_218326702.1', 'WP_002329236.1']
FtsW.36	FtsW	WP_056936989.1	37	['WP_056936989.1', 'WP_057740869.1', 'WP_275087102.1', 'WP_235804931.1', 'WP_122481130.1', 'WP_182597925.1', 'WP_153930595.1', 'WP_220477024.1', 'WP_220477729.1', 'WP_076462192.1', 'WP_007122918.1', 'WP_047769064.1', 'WP_057808165.1', 'WP_260900718.1', 'WP_267201394.1', 'WP_057777476.1', 'WP_041093818.1', 'WP_318238869.1', 'WP_137597952.1', 'WP_178914233.1', 'WP_057811108.1', 'WP_178942398.1', 'WP_191683786.1', 'WP_151495816.1', 'WP_182580063.1', 'WP_081446180.1', 'WP_191912627.1', 'WP_242336544.1', 'WP_251574515.1', 'WP_006499731.1', 'WP_239457939.1', 'WP_235720473.1', 'WP_023466454.1', 'WP_093624538.1', 'WP_057890365.1', 'WP_150204217.1', 'WP_268874831.1']
FtsW.37	FtsW	WP_010760986.1	12	['WP_010760986.1', 'WP_010764648.1', 'WP_010771873.1', 'WP_025870888.1', 'WP_069646503.1', 'WP_069652955.1', 'WP_069638575.1', 'WP_071876397.1', 'WP_069662013.1', 'WP_088269152.1', 'WP_013773980.1', 'WP_209556891.1']
FtsW.38	FtsW	WP_052348514.1	2	['WP_052348514.1', 'WP_187387619.1']
FtsW.39	FtsW	WP_269026170.1	2	['WP_269026170.1', 'WP_083478943.1']
FtsW.40	FtsW	WP_057757416.1	14	['WP_057757416.1', 'WP_125578619.1', 'WP_125607599.1', 'WP_057824364.1', 'WP_040534169.1', 'WP_057818157.1', 'WP_150391698.1', 'WP_125601702.1', 'WP_261805773.1', 'WP_125650593.1', 'WP_125766537.1', 'WP_269073829.1', 'WP_235184225.1', 'WP_225423656.1']
FtsW.41	FtsW	WP_235804655.1	27	['WP_235804655.1', 'WP_164478839.1', 'WP_057896596.1', 'WP_235725532.1', 'WP_169790474.1', 'WP_056960117.1', 'WP_010580129.1', 'WP_282564696.1', 'WP_235807237.1', 'WP_003690401.1', 'WP_057868996.1', 'WP_057886209.1', 'WP_057870937.1', 'WP_244053740.1', 'WP_174713950.1', 'WP_026142793.1', 'WP_029604896.1', 'WP_003700026.1', 'WP_057906882.1', 'WP_057827748.1', 'WP_027107330.1', 'WP_202022146.1', 'WP_280606130.1', 'WP_025087955.1', 'WP_112194759.1', 'WP_035448980.1', 'WP_253359604.1']
